,0,1,2,3
32,2019-04-12 01:41:35+00:00,WacoPolice,Tonight Waco PD held its 55th graduation for our Waco Police Department Citizen’s Police Academy. These volunteers have been through an awesome journey that took them through 12 weeks of training that includes... https://www.facebook.com/410404492341446/posts/2055716967810182/,
33,2019-04-11 13:22:48+00:00,WacoPolice,"**ADVANCED TRAFFIC ADVISORY for 4-27/28-2019** The following map and list of road closures will give you a better idea of how to plan your routes/routines for any downtown activities on Saturday and Sunday,... https://www.facebook.com/WacoPoliceDepartment/posts/2054962081219004",
34,2019-04-10 15:56:56+00:00,WacoPolice,Re-posted. Maps didn't follow 1st Tweet.,
35,2019-04-10 15:56:31+00:00,WacoPolice,Re-posted. Maps didn't follow 1st Tweet.,
36,2019-04-10 15:55:55+00:00,WacoPolice,"Please make plans accordingly for this upcoming event. There will be some road closures. Race day is April 28th, 2019.",
37,2019-04-09 15:31:29+00:00,WacoPolice,"Update to Last Weeks Fatal Crash The individual in the fatal crash at 18th and I-35 on 4-5-19 has been identified. He is 41-year-old, Gabriel Leyva of San Juan, TX. Our crash investigation is ongoing. Sgt. Swanton",
38,2019-04-08 22:18:05+00:00,WacoPolice,Additional information on our Jr. Police Academy.,
39,2019-04-08 17:36:55+00:00,WacoPolice,"2019 JUNIOR POLICE ACADEMY June 10th thru June 20th, 2019 The Waco Police Department is looking for young adults who have a desire to one day becoming part of the Honored Blue Line. If you have an interest... http://www.waco-texas.com/police/police-junior-police-academy.asp",
40,2019-04-08 01:31:49+00:00,WacoPolice,Hang in there Trooper Sanchez. You are in our thoughts and prayers.,
41,2019-04-07 21:25:00+00:00,WacoPolice,Great job Sgt. Williams. https://www.facebook.com/story.php?story_fbid=2049940865054459&amp;id=410404492341446,
42,2019-04-01 22:08:00+00:00,WacoPolice,"Assistance Needed in Locating Person of Interest On 3-28-19 two individuals were involved in a verbal disturbance over an order taking too long to be placed, at the drive-in of the What-a-Burger on N.... https://www.facebook.com/WacoPoliceDepartment/posts/2041566822558530",
43,2019-04-01 15:03:08+00:00,WacoPolice,"We are aware of a video depicting a very violent assault that allegedly occurred in our city. As of last week, we opened an active and on-going investigation into the case. It is good to know that many in... https://www.facebook.com/WacoPoliceDepartment/posts/2041092845939261",
44,2019-03-28 20:19:28+00:00,WacoPolice,**Search Warrant in Progress** We are currently serving a search warrant at the Smoke-N-More at 1920 W. Waco Drive. One person in custody. Charges to be filed for “Keeping an Illegal Gambling Place”. Word of... https://www.facebook.com/410404492341446/posts/2035835096465036/,
45,2019-03-28 15:28:35+00:00,WacoPolice,"We won't say which one of our Sergeant's this is, but we think the fall may have been intentional to avoid a hit! https://www.facebook.com/WacoPoliceDepartment/posts/2035521899829689",
46,2019-03-27 19:10:11+00:00,WacoPolice,"Motorcycle Fatality Update The next of kin for the fatal motorcycle crash occurring on Valley Mills Drive last night has been notified of the death. The motorcycle driver is identified as 19-year-old,... https://www.facebook.com/WacoPoliceDepartment/posts/2034393753275837",
47,2019-03-19 19:51:45+00:00,WacoPolice,"35-year old Nhamo Raopz, who we reported to you as missing on 2-24-19, has been located. He is safe and is no longer listed as a Missing Person. Sgt. Swanton",
48,2019-03-14 20:44:58+00:00,WacoPolice,,
49,2019-03-14 20:43:21+00:00,WacoPolice,,
50,2019-03-14 20:20:22+00:00,WacoPolice,HA!!!! Don't we wish!!!!!!!!!!!!!!! : /,
51,2019-03-14 20:17:40+00:00,WacoPolice,"7 crashes on I-35 thru Waco in the last two hours, 4 of which we are still working. Advice...Stop off in Temple, TX if you are South or West, TX if you are North, get a soft drink and a kolache and let the craziness leave us till you come thru!! Sgt. Swanton #SlowTheHeckDownYall",#SlowTheHeckDownYall
52,2019-03-14 20:14:27+00:00,WacoPolice,"We have now had 7 crashes on I-35 thru Waco in the last two hours, 4 of which we are still working. Word of advice...Stop off in Temple, TX if you are South or West, TX if you are North, get a soft drink and a kolache and let the craziness leave us till you come thru!!",
53,2019-03-14 19:29:17+00:00,WacoPolice,"**TRAFFIC ALERT** The I-35 at S. Valley Mills exit, Northbound crash has now been cleared. Expect traffic delays until the back-up has cleared.",
54,2019-03-14 19:27:28+00:00,WacoPolice,We are now working a 2nd crash on I-35 in the Southbound lanes. This crash is near Waco Dr/Bellmead area. Use caution in that area as well.,
55,2019-03-14 18:51:18+00:00,WacoPolice,"**TRAFFIC ALERT** We are working a multi-car, roll-over crash in the Northbound lanes of I-35 at Valley Mills Drive. Several if not all lanes are shut down causing significant delays. Please take alternate routes to avoid the area until the crash can be cleared.",
56,2019-03-14 00:37:37+00:00,WacoPolice,The train versus vehicle crash has cleared. Traffic has returned to normal.,
57,2019-03-13 23:48:48+00:00,WacoPolice,A train has struck a vehicle in downtown Waco. There is no danger to the general public or injuries reported. However avoid the area due to traffic delays.,
58,2019-03-12 16:02:13+00:00,WacoPolice,"Please avoid the areas of 29th thru 31st at Sanger. For obvious reason, street is not safe at this time. Video courtesy of Officer Klecka. https://www.facebook.com/WacoPoliceDepartment/videos/354595298484057/",
59,2019-03-05 16:31:25+00:00,WacoPolice,"For our brothers and sisters in blue at Midland PD, you are all in our thoughts and prayers.",
60,2019-03-05 01:35:50+00:00,WacoPolice,For a minute there I thought you were implying I’m ... I mean he’s old! #38YearsOfServiceAndGoingStrong,#38YearsOfServiceAndGoingStrong
61,2019-03-05 01:29:26+00:00,WacoPolice,Glad we could help! https://www.facebook.com/410404492341446/posts/2004428312939048/,
62,2019-03-05 00:17:35+00:00,WacoPolice,Prayers from Waco Officer Wertman! Heal well.,
63,2019-03-05 00:16:03+00:00,WacoPolice,Right? I think he should be like CEO or something. :),
64,2019-03-04 21:25:15+00:00,WacoPolice,"With the public and media assistance, Ms. Tonya Campbell has reached out to her family and is safe. Thank you all for your help. She is no longer listed as a Missing Person. Sgt. Swanton",
