0,1,2,3
2017-09-01 01:33:05+00:00,houstontranstar,IH-10 Eastbound At BRAZOS RIVER/WALLER-AUSTIN COUNTY LINE - High Water - Status: Cleared at 8:31 PM,
2017-09-01 01:27:05+00:00,houstontranstar,"EAST SAM HOUSTON TOLLWAY Northbound At Garrett - Accident - Status: Verified at 8:23 PM - Lanes Affected: 1 Mainlane(s), 1 Shoulder Lane(s)",
2017-09-01 01:24:05+00:00,houstontranstar,IH-69 Eastex Freeway Northbound At GREENS RD - Accident - Status: Cleared at 8:21 PM,
2017-09-01 01:06:05+00:00,houstontranstar,SH-288 Southbound At FM 1462 ROSHARON RD - High Water - Status: Cleared at 8:03 PM,
2017-09-01 01:03:08+00:00,houstontranstar,SH-288 Northbound At FORT BEND COUNTY RD CR 56 - High Water - Status: Cleared at 8:01 PM,
2017-09-01 01:03:05+00:00,houstontranstar,US-90 Westbound At ADLONG JOHNSON / BOHEMIAN HALL - High Water - Status: Cleared at 7:59 PM,
2017-09-01 00:57:05+00:00,houstontranstar,US-90 ALTERNATE Westbound At SH-99 GRAND PARKWAY - High Water - Status: Cleared at 7:54 PM,
2017-09-01 00:51:05+00:00,houstontranstar,US-90 ALTERNATE Eastbound At SH-99 GRAND PARKWAY - High Water - Status: Cleared at 7:47 PM,
2017-09-01 00:18:05+00:00,houstontranstar,FM-529 Westbound At BRAZOS RIVER/WALLER-AUSTIN COUNTY LINE - High Water - Status: Cleared at 7:16 PM,
2017-09-01 00:12:05+00:00,houstontranstar,FM-362 Northbound At WINTERS RD - High Water - Status: Cleared at 7:09 PM,
2017-09-01 00:06:05+00:00,houstontranstar,FM-2919 Northbound At BATTLE RD - High Water - Status: Cleared at 7:04 PM,
2017-08-31 23:57:05+00:00,houstontranstar,IH-610 WEST LOOP Northbound At FOURNACE PL - Accident - Status: Cleared at 6:54 PM,
2017-08-31 23:42:14+00:00,houstontranstar,FM-2855 Southbound At US-90 - High Water - Status: Cleared at 6:40 PM,
2017-08-31 23:42:11+00:00,houstontranstar,FM-2855 Northbound At US-90 - High Water - Status: Cleared at 6:41 PM,
2017-08-31 23:42:08+00:00,houstontranstar,FM-2855 Northbound At FM-529 - High Water - Status: Cleared at 6:38 PM,
2017-08-31 23:42:05+00:00,houstontranstar,IH-610 WEST LOOP Northbound At FOURNACE PL - Accident - Status: Verified at 6:39 PM - Lanes Affected: 4 Mainlane(s),
2017-08-31 23:39:05+00:00,houstontranstar,FM-2855 Southbound At FM-529 - High Water - Status: Cleared at 6:38 PM,
2017-08-31 23:36:05+00:00,houstontranstar,FM-1887 Northbound At FM-3346 - High Water - Status: Cleared at 6:32 PM,
2017-08-31 23:33:05+00:00,houstontranstar,FM-1887 Northbound At FM-359 - High Water - Status: Cleared at 6:31 PM,
2017-08-31 23:15:05+00:00,houstontranstar,FM-1887 Southbound At FM-3346 - High Water - Status: Cleared at 6:12 PM,
2017-08-31 23:03:05+00:00,houstontranstar,FM-1488 Eastbound At WYATT CHAPEL RD - High Water - Status: Cleared at 6:01 PM,
2017-08-31 23:00:05+00:00,houstontranstar,FM-1463 Southbound At Churchill Farms Blvd/ Cardiff Ranch Dr - High Water - Status: Cleared at 5:57 PM,
2017-08-31 22:51:05+00:00,houstontranstar,FM-522 Northbound At FM-1459 - High Water - Status: Cleared at 5:50 PM,
2017-08-31 22:48:05+00:00,houstontranstar,FM-1459 Southbound At FM-522 - High Water - Status: Cleared at 5:46 PM,
2017-08-31 22:45:10+00:00,houstontranstar,FM-1459 Northbound At SH-35 - High Water - Status: Cleared at 5:43 PM,
2017-08-31 22:45:07+00:00,houstontranstar,FM-1459 Northbound At FM-522 - High Water - Status: Cleared at 5:44 PM,
2017-08-31 22:39:05+00:00,houstontranstar,FM-1458 Westbound At BRAZOS RIVER/WALLER-AUSTIN COUNTY LINE - High Water - Status: Cleared at 5:36 PM,
2017-08-31 22:33:05+00:00,houstontranstar,FM-1458 Eastbound At BULLER RD - High Water - Status: Cleared at 5:32 PM,
2017-08-31 22:30:05+00:00,houstontranstar,BELTWAY 8-EAST Southbound At WALLISVILLE - High Water - Status: Cleared at 5:27 PM,
2017-08-31 22:27:05+00:00,houstontranstar,SH-99 Northbound At BRAZOS RIVER - High Water - Status: Cleared at 5:25 PM,
2017-08-31 22:24:05+00:00,houstontranstar,SH-99 Southbound At BRAZOS RIVER - High Water - Status: Cleared at 5:23 PM,
2017-08-31 22:21:05+00:00,houstontranstar,SH-6 Southbound At PATTERSON RD - High Water - Status: Cleared at 5:18 PM,
2017-08-31 22:09:05+00:00,houstontranstar,SH-6 Eastbound At FM-521 - High Water - Status: Cleared at 5:06 PM,
2017-08-31 22:03:08+00:00,houstontranstar,IH-45 Southbound At FM-518 - High Water - Status: Cleared at 5:00 PM,
2017-08-31 22:03:05+00:00,houstontranstar,SH-6 Eastbound At Bissonnet St - High Water - Status: Cleared at 4:59 PM,
2017-08-31 22:00:08+00:00,houstontranstar,SH-36 Northbound At SH-35/ 17th St - High Water - Status: Cleared at 4:58 PM,
2017-08-31 22:00:05+00:00,houstontranstar,SH-35 Eastbound At SH 36 - High Water - Status: Cleared at 4:56 PM,
2017-08-31 21:57:05+00:00,houstontranstar,SH-288 Northbound Before IH-45 GULF - Accident - Status: Cleared at 4:54 PM,
2017-08-31 21:24:07+00:00,houstontranstar,IH-69 Eastex Freeway Southbound At GREENS RD - Accident - Status: Verified at 4:22 PM - Lanes Affected: All Mainlanes,
2017-08-31 21:24:05+00:00,houstontranstar,IH-69 Eastex Freeway Northbound At GREENS RD - Accident - Status: Verified at 4:21 PM - Lanes Affected: All Mainlanes,
2017-08-31 21:21:05+00:00,houstontranstar,"SH-288 Northbound Before IH-45 GULF - Accident - Status: Verified at 4:18 PM - Lanes Affected: 2 Mainlane(s), 1 Shoulder Lane(s)",
2017-08-31 21:00:05+00:00,houstontranstar,"IH-10 EAST Eastbound At LOCKWOOD DR - Heavy Truck, Stall - Status: Cleared at 3:58 PM",
2017-08-31 20:18:06+00:00,houstontranstar,BS-290 Eastbound At FM-359 - High Water - Status: Cleared at 3:16 PM,
2017-08-31 20:18:05+00:00,houstontranstar,WEST SAM HOUSTON TOLLWAY Southbound Before WESTPARK DR - Stall - Status: Cleared at 3:14 PM,
2017-08-31 20:15:05+00:00,houstontranstar,SOUTH SAM HOUSTON TOLLWAY Eastbound At SOUTHEAST PLAZA - Other - Status: Cleared at 3:12 PM,
2017-08-31 20:12:05+00:00,houstontranstar,FM-529 Eastbound At STEFKA RD - High Water - Status: Cleared at 3:10 PM,
2017-08-31 19:27:05+00:00,houstontranstar,"IH-10 EAST Westbound At N. MAIN/ Crosby Cedar Bayou - High Water, Road Debris - Status: Verified at 2:23 PM - Lanes Affected: All Mainlanes",
2017-08-31 19:09:05+00:00,houstontranstar,SH-6 Eastbound At MISSISSIPPI ST - High Water - Status: Cleared at 2:07 PM,
2017-08-31 19:06:05+00:00,houstontranstar,SH-6 Eastbound At MUSTANG BAYOU RD - High Water - Status: Cleared at 2:02 PM,
2017-08-31 19:00:05+00:00,houstontranstar,SH-35 Eastbound At 11TH ST - High Water - Status: Cleared at 1:56 PM,
2017-08-31 18:54:05+00:00,houstontranstar,"US-90 ALTERNATE Eastbound At SH-99 GRAND PARKWAY - High Water, Accident - Status: Verified at 1:52 PM - Lanes Affected: All Mainlanes",
2017-08-31 18:48:05+00:00,houstontranstar,FM-1462 Eastbound At SH-36 - High Water - Status: Cleared at 1:46 PM,
2017-08-31 18:42:05+00:00,houstontranstar,US-90 Westbound At UVALDE - High Water - Status: Cleared at 1:39 PM,
2017-08-31 18:39:05+00:00,houstontranstar,IH-45 Northbound At FM-518 - High Water - Status: Cleared at 1:36 PM,
2017-08-31 18:30:12+00:00,houstontranstar,US-290 NORTHWEST Eastbound At SKINNER - High Water - Status: Cleared at 1:27 PM,
2017-08-31 18:30:08+00:00,houstontranstar,IH-10 KATY Westbound At SH-6 - High Water - Status: Cleared at 1:28 PM,
2017-08-31 18:30:05+00:00,houstontranstar,"IH-10 EAST Eastbound At LOCKWOOD DR - Heavy Truck, Stall - Status: Verified at 1:26 PM - Lanes Affected: 2 Mainlane(s)",
2017-08-31 18:27:09+00:00,houstontranstar,SH-6 Eastbound At CARDINAL DR CR 149 - High Water - Status: Cleared at 1:23 PM,
2017-08-31 18:27:05+00:00,houstontranstar,IH-45 GULF Northbound At TRAVIS - High Water - Status: Cleared at 1:24 PM,
2017-08-31 18:24:05+00:00,houstontranstar,IH-10 Westbound At DONIGAN RD - High Water - Status: Cleared at 1:20 PM,
2017-08-31 17:45:05+00:00,houstontranstar,IH-10 EAST Eastbound At CEDAR LN - High Water - Status: Cleared at 12:42 PM,
2017-08-31 16:51:05+00:00,houstontranstar,SOUTH SAM HOUSTON TOLLWAY Eastbound At SOUTHEAST PLAZA - Other - Status: Verified at 11:48 AM - Lanes Affected: 3 Mainlane(s),
2017-08-31 16:15:05+00:00,houstontranstar,US-290 Eastbound At FM 1098 - High Water - Status: Cleared at 11:11 AM,
2017-08-31 16:12:10+00:00,houstontranstar,US-290 NORTHWEST Eastbound At FM-529 - High Water - Status: Cleared at 11:10 AM,
2017-08-31 16:12:05+00:00,houstontranstar,US-290 NORTHWEST Eastbound At BINFORD - High Water - Status: Cleared at 11:08 AM,
2017-08-31 15:45:14+00:00,houstontranstar,US-290 NORTHWEST Westbound At ELDRIDGE PARKWAY - High Water - Status: Cleared at 10:42 AM,
2017-08-31 15:45:09+00:00,houstontranstar,IH-10 EAST Westbound At MONMOUTH DR - High Water - Status: Cleared at 10:43 AM,
2017-08-31 15:45:05+00:00,houstontranstar,IH-10 EAST Eastbound At MONMOUTH DR - High Water - Status: Cleared at 10:41 AM,
2017-08-31 15:42:05+00:00,houstontranstar,IH-10 EAST Westbound At S MAIN ST/S LYNCHBURG RD - High Water - Status: Cleared at 10:38 AM,
2017-08-31 15:39:08+00:00,houstontranstar,SOUTH SAM HOUSTON TOLLWAY Eastbound At SH-288 - High Water - Status: Cleared at 10:37 AM,
2017-08-31 15:39:05+00:00,houstontranstar,IH-10 EAST Westbound At MONMOUTH DR - Other - Status: Verified at 10:34 AM - Lanes Affected: All Mainlanes,
2017-08-31 15:36:05+00:00,houstontranstar,IH-10 EAST Eastbound At MONMOUTH DR - Other - Status: Verified at 10:26 AM - Lanes Affected: All Mainlanes,
2017-08-31 14:45:05+00:00,houstontranstar,BELTWAY 8-WEST Northbound At BRIAR FOREST DR - High Water - Status: Cleared at 9:43 AM,
2017-08-31 14:24:05+00:00,houstontranstar,WEST SAM HOUSTON TOLLWAY Southbound At IH-10 KATY - High Water - Status: Cleared at 9:22 AM,
2017-08-31 14:15:05+00:00,houstontranstar,IH-45 NORTH Northbound At MEMORIAL DR - High Water - Status: Verified at 9:12 AM - Lanes Affected: 1 Ramp Lane(s),
2017-08-31 14:00:05+00:00,houstontranstar,SH-249 TOMBALL PARKWAY Northbound At COMPAQ CENTER DR - High Water - Status: Cleared at 8:57 AM,
2017-08-31 13:39:05+00:00,houstontranstar,IH-610 WEST LOOP Northbound At IH-10 KATY - Accident - Status: Cleared at 8:38 AM,
2017-08-31 13:33:11+00:00,houstontranstar,LOOP-494 Northbound At MONTGOMERY-HARRIS COUNTY LINE - High Water - Status: Cleared at 8:31 AM,
2017-08-31 13:33:08+00:00,houstontranstar,IH-69 Southbound At FOSTORIA RD - High Water - Status: Cleared at 8:31 AM,
2017-08-31 13:33:05+00:00,houstontranstar,IH-69 Southbound At FM 1314 - High Water - Status: Cleared at 8:32 AM,
2017-08-31 12:36:05+00:00,houstontranstar,SH-288 Southbound At SAM HOUSTON TOLLWAY - High Water - Status: Cleared at 7:33 AM,
2017-08-31 12:30:05+00:00,houstontranstar,SH-288 Northbound At SAM HOUSTON TOLLWAY - High Water - Status: Cleared at 7:28 AM,
2017-08-31 12:24:08+00:00,houstontranstar,IH-610 WEST LOOP Northbound At IH-10 KATY - Accident - Status: Verified at 7:20 AM - Lanes Affected: 2 Mainlane(s),
2017-08-31 12:00:05+00:00,houstontranstar,SH-35 Eastbound At DIXIE FARM CR 126 - High Water - Status: Cleared at 6:56 AM,
2017-08-31 11:57:11+00:00,houstontranstar,FM-521 Northbound At FORT BEND COUNTY RD CR 56 - High Water - Status: Cleared at 6:55 AM,
2017-08-31 11:57:08+00:00,houstontranstar,FM-521 Northbound At FM-1462 - High Water - Status: Cleared at 6:54 AM,
2017-08-31 11:57:05+00:00,houstontranstar,FM-1128 Northbound At CHOCOLATE BAYOU RD CR 385 - High Water - Status: Cleared at 6:54 AM,
2017-08-31 11:54:17+00:00,houstontranstar,FM-1128 Southbound At CHOCOLATE BAYOU RD CR 385 - High Water - Status: Cleared at 6:52 AM,
2017-08-31 08:15:12+00:00,houstontranstar,IH-45 GULF Northbound At SCARSDALE BLVD - High Water - Status: Cleared at 3:12 AM,
2017-08-31 07:48:10+00:00,houstontranstar,IH-10 Westbound At PEDERSON RD - High Water - Status: Cleared at 2:45 AM,
2017-08-31 07:45:12+00:00,houstontranstar,BELTWAY 8-EAST Northbound At WALLISVILLE - Accident - Status: Cleared at 2:41 AM,
2017-08-31 07:42:14+00:00,houstontranstar,IH-45 NORTH Southbound At CYPRESSWOOD DR/Holzwarth - High Water - Status: Cleared at 2:40 AM,
2017-08-31 07:39:09+00:00,houstontranstar,SH-288 Northbound At SH-6 - High Water - Status: Cleared at 2:38 AM,
2017-08-31 07:18:05+00:00,houstontranstar,US-90 Westbound At CROSBY EASTGATE - Other - Status: Verified at 2:13 AM - Lanes Affected: None,
2017-08-31 07:15:05+00:00,houstontranstar,US-90 Eastbound At CROSBY EASTGATE - Other - Status: Detected at 2:11 AM - Lanes Affected: All Mainlanes,
2017-08-31 07:09:09+00:00,houstontranstar,IH-45 NORTH Northbound At CYPRESSWOOD DR/Holzwarth - High Water - Status: Cleared at 2:07 AM,
2017-08-31 05:51:05+00:00,houstontranstar,"HARDY TOLL ROAD Southbound Before FM-1960 - Heavy Truck, Stall - Status: Cleared at 12:49 AM",
2017-08-31 05:48:05+00:00,houstontranstar,"HARDY TOLL ROAD Southbound Before FM-1960 - Heavy Truck, Stall - Status: Verified at 12:46 AM - Lanes Affected: 1 Mainlane(s)",
2017-08-31 03:12:05+00:00,houstontranstar,BELTWAY 8-EAST Northbound At WALLISVILLE - Accident - Status: Verified at 10:08 PM - Lanes Affected: All Mainlanes,
2017-08-31 02:21:05+00:00,houstontranstar,NORTH SAM HOUSTON TOLLWAY Eastbound At Mesa Rd - Accident - Status: Cleared at 9:18 PM,
2017-08-31 01:33:05+00:00,houstontranstar,HARDY AIRPORT CONNECTOR Eastbound Before JFK BLVD - Accident - Status: Cleared at 8:31 PM,
2017-08-31 01:15:05+00:00,houstontranstar,IH-69 Eastex Freeway Northbound At IH-45 GULF - Other - Status: Cleared at 8:11 PM,
2017-08-31 01:12:05+00:00,houstontranstar,SOUTH SAM HOUSTON TOLLWAY Westbound At ALMEDA - Accident - Status: Cleared at 8:10 PM,
2017-08-31 00:57:09+00:00,houstontranstar,SH-225 Westbound At RICHEY ST - High Water - Status: Cleared at 7:56 PM,
2017-08-31 00:57:05+00:00,houstontranstar,SH-225 Eastbound At RICHEY ST - High Water - Status: Cleared at 7:53 PM,
2017-08-31 00:45:05+00:00,houstontranstar,HARDY AIRPORT CONNECTOR Eastbound Before JFK BLVD - Accident - Status: Verified at 7:43 PM - Lanes Affected: 1 Shoulder Lane(s),
2017-08-31 00:36:05+00:00,houstontranstar,US-290 NORTHWEST Eastbound At SKINNER - High Water - Status: Verified at 7:33 PM - Lanes Affected: 3 Frontage Road Lane(s),
2017-08-31 00:21:05+00:00,houstontranstar,SOUTH SAM HOUSTON TOLLWAY Westbound At ALMEDA - Accident - Status: Verified at 7:17 PM - Lanes Affected: 1 Shoulder Lane(s),
2017-08-30 23:54:16+00:00,houstontranstar,US-90 ALTERNATE Westbound At SAN BENARD RIVER/FORT BEND-WHARTON COUNTY LINE - High Water - Status: Cleared at 6:53 PM,
2017-08-30 23:54:13+00:00,houstontranstar,US-90 ALTERNATE Eastbound At SAN BENARD RIVER/FORT BEND-WHARTON COUNTY LINE - High Water - Status: Cleared at 6:52 PM,
2017-08-30 23:54:11+00:00,houstontranstar,US-90 ALTERNATE Eastbound At KIRKWOOD DR/DULLES AVE - High Water - Status: Cleared at 6:51 PM,
2017-08-30 23:54:08+00:00,houstontranstar,IH-69 Southbound At ISLEIB RD - High Water - Status: Cleared at 6:50 PM,
2017-08-30 23:54:05+00:00,houstontranstar,IH-69 Southbound At FM-762/THOMPSON RD - High Water - Status: Cleared at 6:51 PM,
2017-08-30 23:51:13+00:00,houstontranstar,IH-69 Southbound At BRAZOS RIVER - High Water - Status: Cleared at 6:49 PM,
2017-08-30 23:51:11+00:00,houstontranstar,IH-69 Northbound At University Blvd - High Water - Status: Cleared at 6:49 PM,
2017-08-30 23:51:08+00:00,houstontranstar,IH-69 Northbound At FM-762/THOMPSON RD - High Water - Status: Cleared at 6:48 PM,
2017-08-30 23:51:05+00:00,houstontranstar,FM-2977 Southbound At HAND RD - High Water - Status: Cleared at 6:48 PM,
2017-08-30 23:45:05+00:00,houstontranstar,SH-288 Southbound After FM-2234 MC HARD RD - High Water - Status: Cleared at 6:42 PM,
2017-08-30 23:39:08+00:00,houstontranstar,FM-1464 Northbound At W Bellfort Rd - High Water - Status: Cleared at 6:36 PM,
2017-08-30 23:39:05+00:00,houstontranstar,FM-1462 Southbound At Nordt Rd - High Water - Status: Cleared at 6:35 PM,
2017-08-30 23:36:08+00:00,houstontranstar,FM-1462 Northbound At Nordt Rd - High Water - Status: Cleared at 6:33 PM,
2017-08-30 23:36:05+00:00,houstontranstar,FM-1093 Eastbound At S MASON RD - High Water - Status: Cleared at 6:32 PM,
2017-08-30 23:30:08+00:00,houstontranstar,FM-1092 Southbound At 5TH ST - High Water - Status: Cleared at 6:27 PM,
2017-08-30 23:30:05+00:00,houstontranstar,FM-1092 Northbound At 5TH ST - High Water - Status: Cleared at 6:27 PM,
2017-08-30 23:24:05+00:00,houstontranstar,HARDY TOLL ROAD Southbound At CROSSTIMBERS ST - High Water - Status: Cleared at 6:20 PM,
2017-08-30 23:21:05+00:00,houstontranstar,HARDY TOLL ROAD Northbound At CROSSTIMBERS ST - High Water - Status: Cleared at 6:19 PM,
2017-08-30 22:30:05+00:00,houstontranstar,IH-69 Eastex Freeway Southbound At IH-45 GULF - High Water - Status: Cleared at 5:27 PM,
2017-08-30 22:18:08+00:00,houstontranstar,HARDY TOLL ROAD Northbound At BELTWAY 8-NORTH - High Water - Status: Cleared at 5:16 PM,
2017-08-30 22:18:05+00:00,houstontranstar,BELTWAY 8-NORTH Westbound At HARDY TOLL - High Water - Status: Cleared at 5:17 PM,
2017-08-30 22:15:05+00:00,houstontranstar,HARDY TOLL ROAD Southbound At BELTWAY 8-NORTH - High Water - Status: Cleared at 5:12 PM,
2017-08-30 21:33:08+00:00,houstontranstar,FM-2920 Westbound At Calvert Rd - High Water - Status: Cleared at 4:30 PM,
2017-08-30 21:33:05+00:00,houstontranstar,FM-2920 Westbound At BAUER RD - High Water - Status: Cleared at 4:29 PM,
2017-08-30 21:30:16+00:00,houstontranstar,IH-10 KATY MANAGED LANE Westbound At ELDRIDGE PKY - Accident - Status: Cleared at 4:27 PM,
2017-08-30 21:30:13+00:00,houstontranstar,FM-2920 Eastbound At Park Rd - High Water - Status: Cleared at 4:29 PM,
2017-08-30 21:30:10+00:00,houstontranstar,FM-2920 Eastbound At BAUER RD - High Water - Status: Cleared at 4:28 PM,
2017-08-30 21:30:08+00:00,houstontranstar,FM-1960 Eastbound At FM 2100/CROSBY HUFFMAN RD - High Water - Status: Cleared at 4:27 PM,
2017-08-30 21:30:05+00:00,houstontranstar,FM-1960 Eastbound At ELLA BLVD - High Water - Status: Cleared at 4:27 PM,
2017-08-30 21:24:06+00:00,houstontranstar,SH-99 Grand Pkwy - North Westbound After San Jacinto River - High Water - Status: Cleared at 4:21 PM,
2017-08-30 21:06:05+00:00,houstontranstar,IH-10 KATY MANAGED LANE Eastbound At ELDRIDGE PKY - Accident - Status: Verified at 4:03 PM - Lanes Affected: None,
